Annee,DateRap,JA,Comb,iLat,iLon,INT,Domaine,Rgn_ecolo,Dates,Month,Numero
1994,17/05/1994 15:46,1,C2,48.9375,-72.36060333,47,4,4e,17/05/1994,17-May-94,112
1994,17/05/1994 15:46,2,C2,48.9375,-72.36060333,267,4,4e,17/05/1994,17-May-94,112
1994,16/05/1994 9:32,0,D1,45.8614006,-73.22309875,0,1,1a,16/05/1994,16-May-94,113
1994,11/05/1994 14:15,1,AU,48.76079941,-72.39640045,,4,4e,11/05/1994,11-May-94,114
1994,11/05/1994 14:15,2,AU,48.76079941,-72.39640045,,4,4e,11/05/1994,11-May-94,114
1994,19/05/1994 12:50,1,D1,48.19390106,-65.58860016,136,4,4g,19/05/1994,19-May-94,115
1994,14/05/1994 13:49,1,D1,46.05419922,-74.0381012,68,3,3c,14/05/1994,14-May-94,116
1994,14/05/1994 13:49,2,D1,46.05419922,-74.0381012,54,3,3c,14/05/1994,14-May-94,116
1994,14/05/1994 13:49,3,D1,46.05419922,-74.0381012,0,3,3c,14/05/1994,14-May-94,116
1994,18/05/1994 15:00,0,C6,45.09329987,-72.07440186,0,2,2c,18/05/1994,18-May-94,117
1994,19/05/1994 15:15,1,M1,48.38669968,-64.62750244,105,4,4g,19/05/1994,19-May-94,118
1994,19/05/1994 15:15,2,M1,48.38669968,-64.62750244,69,4,4g,19/05/1994,19-May-94,118
1994,19/05/1994 16:17,1,D1,48.92139816,-79.49859619,6,5,5a,19/05/1994,19-May-94,119
1994,19/05/1994 16:17,2,D1,48.92139816,-79.49859619,174,5,5a,19/05/1994,19-May-94,119
1994,19/05/1994 16:17,3,D1,48.92139816,-79.49859619,63,5,5a,19/05/1994,19-May-94,119
1994,19/05/1994 17:10,1,D1,47.54059982,-72.67279816,31,4,4c,19/05/1994,19-May-94,120
1994,14/05/1994 18:45,1,M1,46.52170181,-75.55470276,70,3,3b,14/05/1994,14-May-94,121
1994,14/05/1994 18:45,2,M1,46.52170181,-75.55470276,61,3,3b,14/05/1994,14-May-94,121
1994,14/05/1994 18:45,3,M1,46.52170181,-75.55470276,0,3,3b,14/05/1994,14-May-94,121
1994,14/05/1994 18:45,4,M1,46.52170181,-75.55470276,0,3,3b,14/05/1994,14-May-94,121
1994,14/05/1994 18:45,5,M1,46.52170181,-75.55470276,,3,3b,14/05/1994,14-May-94,121
1994,14/05/1994 18:45,6,M1,46.52170181,-75.55470276,3,3,3b,14/05/1994,14-May-94,121
1994,14/05/1994 18:45,7,M1,46.52170181,-75.55470276,45,3,3b,14/05/1994,14-May-94,121
1994,20/05/1994 12:15,1,O1A,48.06219864,-79.26609802,723,4,4a,20/05/1994,20-May-94,122
1994,20/05/1994 12:15,2,O1A,48.06219864,-79.26609802,374,4,4a,20/05/1994,20-May-94,122
1994,19/05/1994 18:10,1,D1,46.28170013,-76.02610016,7,2,2a,19/05/1994,19-May-94,123
1994,19/05/1994 18:10,2,D1,46.28170013,-76.02610016,53,2,2a,19/05/1994,19-May-94,123
1994,19/05/1994 18:10,3,D1,46.28170013,-76.02610016,68,2,2a,19/05/1994,19-May-94,123
1994,20/05/1994 15:50,1,C3,48.36940002,-71.09919739,142,4,4e,20/05/1994,20-May-94,124
1994,20/05/1994 15:50,2,C3,48.36940002,-71.09919739,763,4,4e,20/05/1994,20-May-94,124
1994,20/05/1994 12:30,1,O1A,46.10419846,-70.95999908,1666,3,3d,20/05/1994,20-May-94,125
1994,20/05/1994 15:15,1,D1,48.31219864,-78.19719696,59,5,5a,20/05/1994,20-May-94,126
1994,20/05/1994 15:15,2,D1,48.31219864,-78.19719696,72,5,5a,20/05/1994,20-May-94,126
1994,20/05/1994 15:25,1,C2,46.15719986,-76.25,882,3,3a,20/05/1994,20-May-94,127
1994,20/05/1994 15:25,2,C2,46.15719986,-76.25,677,3,3a,20/05/1994,20-May-94,127
1994,20/05/1994 15:25,3,C2,46.15719986,-76.25,4046,3,3a,20/05/1994,20-May-94,127
