Latitude,Longitude,TMax 
50.31,-74.61,-8.282
50.31,-74.61,-7.074
50.31,-74.61,-6.632
50.31,-74.61,-7.923
50.31,-74.61,-7.292
50.31,-74.61,-7.716
50.31,-74.61,-9.039
50.31,-74.61,-8.574
50.31,-74.61,-7.381
50.31,-74.61,-6.878
50.31,-74.61,-7.246
50.31,-74.61,-9.075
50.31,-74.61,-7.738
50.31,-74.61,-7.28
50.31,-74.61,-8.075
50.31,-74.61,-7.026
50.31,-74.61,-8.323
50.36,-74.46,-8.566
50.36,-74.46,-7.784
50.36,-74.46,-7.65
50.36,-74.46,-6.415
50.36,-74.46,-7.632
50.36,-74.46,-7.853
50.36,-74.46,-9.088
50.36,-74.46,-7.645
50.36,-74.46,-7.232
50.36,-74.46,-9.097
50.36,-74.46,-9.27
50.36,-74.46,-8.602
50.36,-74.46,-7.196
50.36,-74.46,-8.181
50.36,-74.46,-6.979
50.36,-74.46,-6.538
50.36,-74.46,-7.824
50.36,-74.46,-7.201
50.36,-74.46,-7.622
50.36,-74.46,-8.932
50.36,-74.46,-8.478
50.36,-74.46,-7.294
50.36,-74.46,-6.783
50.36,-74.46,-7.155
50.36,-74.46,-8.971
50.36,-74.46,-7.637
50.36,-74.46,-7.184
50.36,-74.46,-7.974
50.36,-74.46,-6.935
50.36,-74.46,-8.225
50.36,-74.46,-8.575
50.36,-74.46,-7.793
50.36,-74.46,-7.659
50.36,-74.46,-6.424
50.36,-74.46,-7.64
50.36,-74.46,-7.862
50.36,-74.46,-9.097
50.36,-74.46,-7.654
50.36,-74.46,-7.241
50.36,-74.46,-9.106
50.36,-74.46,-9.279
50.36,-74.46,-8.611
50.36,-74.46,-7.205
50.36,-74.46,-8.19
50.36,-74.46,-6.988
50.36,-74.46,-6.546
50.36,-74.46,-7.833
50.36,-74.46,-7.21
50.36,-74.46,-7.631
50.36,-74.46,-8.941
50.36,-74.46,-8.487
50.36,-74.46,-7.303
50.36,-74.46,-6.792
50.36,-74.46,-7.164
50.36,-74.46,-8.98
50.36,-74.46,-7.646
50.36,-74.46,-7.193
50.36,-74.46,-7.983
50.36,-74.46,-6.944
50.36,-74.46,-8.234
50.36,-74.46,-8.583
50.36,-74.46,-7.802
50.36,-74.46,-7.667
50.36,-74.46,-6.433
50.36,-74.46,-7.649
50.36,-74.46,-7.871
50.36,-74.46,-9.105
50.36,-74.46,-7.663
50.36,-74.46,-7.25
