Latitude,Longitude,DC
50.17,-75.34,76.38171
50.17,-75.34,79.4963
50.17,-75.34,77.78997
50.17,-75.34,82.72608
50.17,-75.34,90.29498
50.17,-75.34,80.38172
50.17,-75.34,76.2054
50.17,-75.34,83.44159
50.17,-75.34,82.2227
50.17,-75.34,85.23971
50.17,-75.34,74.30931
50.17,-75.34,89.33556
50.17,-75.34,72.43928
50.17,-75.34,80.52807
50.17,-75.34,84.66346
50.17,-75.34,81.08284
50.17,-75.34,87.58024
50.17,-75.34,76.24565
50.17,-75.34,84.44593
50.17,-75.34,74.5032
50.17,-75.34,89.00382
50.17,-75.34,72.4345
50.17,-75.14,81.43574
50.17,-75.14,86.76879
50.17,-75.14,82.77441
50.17,-75.14,72.59184
50.17,-75.14,81.14584
50.17,-75.14,75.95916
50.17,-75.14,76.46228
50.17,-75.14,86.10969
50.17,-75.14,77.07489
50.17,-75.14,80.11188
50.17,-75.14,78.48506
50.17,-75.14,82.79544
50.17,-75.14,90.75675
50.17,-75.14,80.56229
50.17,-75.14,76.91214
50.17,-75.14,84.27692
50.17,-75.14,82.71067
50.17,-75.14,85.80595
50.17,-75.14,74.98018
50.17,-75.14,89.921
50.17,-75.14,72.64045
50.17,-75.14,81.19991
50.17,-75.14,85.43798
50.17,-75.14,81.67289
50.17,-75.14,87.56061
50.17,-75.14,76.86094
50.17,-75.14,84.99247
50.17,-75.14,75.33713
50.17,-75.14,90.54654
50.17,-75.14,72.65886
50.18,-74.99,81.50972
50.18,-74.99,86.86611
50.18,-74.99,82.89387
50.18,-74.99,72.60603
50.18,-74.99,80.46956
50.18,-74.99,76.01822
50.18,-74.99,76.5013
50.18,-74.99,86.20909
50.18,-74.99,77.13617
50.18,-74.99,79.85673
50.18,-74.99,78.50841
50.18,-74.99,82.9226
50.18,-74.99,90.89839
50.18,-74.99,80.63161
50.18,-74.99,77.01244
50.18,-74.99,84.36168
50.18,-74.99,82.65972
50.18,-74.99,85.88197
50.18,-74.99,75.14168
50.18,-74.99,90.03654
50.18,-74.99,72.71817
50.18,-74.99,80.60555
50.18,-74.99,85.51952
50.18,-74.99,81.79392
50.18,-74.99,87.69047
50.18,-74.99,76.87883
50.18,-74.99,85.06688
50.18,-74.99,75.07912
50.18,-74.99,90.49377
50.18,-74.99,72.77383
50.13,-74.95,81.06217
50.13,-74.95,86.50284
50.13,-74.95,82.09513
50.13,-74.95,72.18541
50.13,-74.95,79.8822
50.13,-74.95,75.71062
50.13,-74.95,75.98825
50.13,-74.95,85.5853
50.13,-74.95,76.76942
50.13,-74.95,79.17095
50.13,-74.95,78.0615
50.13,-74.95,82.57856
50.13,-74.95,90.27961
50.13,-74.95,80.23725
50.13,-74.95,76.22983
50.13,-74.95,83.38423
50.13,-74.95,82.52052
50.13,-74.95,85.17335
50.13,-74.95,74.73567
50.13,-74.95,89.51816
50.13,-74.95,72.41987
50.13,-74.95,80.20593
50.13,-74.95,84.60823
50.13,-74.95,81.18844
50.13,-74.95,87.31521
50.13,-74.95,76.11701
50.13,-74.95,84.68683
50.13,-74.95,74.71734
50.13,-74.95,90.06424
50.13,-74.95,72.38706
50.14,-74.96,81.64133
50.14,-74.96,86.93062
50.14,-74.96,82.86129
50.14,-74.96,72.74696
50.14,-74.96,80.27874
50.14,-74.96,76.02866
